Data,Temp_OBS,UR_OBS,Prec_OBS,Temp_ETA,UR_ETA,Prec_ETA,Temp_BRAMS,UR_BRAMS,Prec_BRAMS,Temp_WRF,UR_WRF,Prec_WRF
2023-01-01,25.325,66.04166667,0,23.11,75.04,0.7,23.69,83.33,13.1,22.98,77.25,6.6
2023-01-02,25.18181818,65.8,0,23.92,66.58,5.2,23.25,88.02,16.8,23.48,74.07,1.5
2023-01-03,25.15,68.40833333,0,25.21,65.36,13.5,23.41,89.93,12.3,23.45,74.41,5.9
2023-01-04,22.85217391,80.73043478,40.4,24.21,77.08,37.7,22.79,96.11,60.5,22.02,87.78,27.7
2023-01-05,18.86666667,86.85833333,9,20.54,74.32,4.1,20.22,92.06,7.4,20.92,84.19,6
2023-01-06,18.93913043,72.98695652,0,17.88,80.24,13.9,19.59,82.12,0,17.38,83.9,19.3
2023-01-07,19.55263158,70.33684211,0,17.75,81.46,23.9,18.46,86.32,0.5,17.28,83.58,8.4
2023-01-08,21.13636364,66.72272727,0,20.84,76.43,4.8,20.82,90.07,14.5,19.15,89.5,23.1
2023-01-09,21.90434783,73.29565217,2.2,22.52,73.36,1.3,22.16,93.07,8.8,21.32,75.41,2.7
2023-01-10,22.30434783,78.23478261,24.2,22.88,71.23,12.6,22.39,91.48,25.4,23.43,80.1,1
2023-01-11,22.35833333,80.4875,11.4,23.21,71.04,4.7,23.2,90.67,17,22.57,81.38,3.7
2023-01-12,22.66666667,78.23333333,17.4,22.99,71.23,15.4,23.24,92.08,15.7,22.44,81.02,6.6
2023-01-13,24.11666667,78.5875,23.4,26.18,58.22,3.3,22.65,92.25,10.3,22.93,80.26,1.7
2023-01-14,23.64583333,77.35,40,24.16,73.89,14.6,23.84,86.46,11.9,24.32,76.82,6.3
2023-01-15,25.27083333,76.59583333,5,22.49,74.34,25.8,23.6,89.35,6.1,24.05,78.63,13
2023-01-16,26.24166667,71.05,0.7,24.43,73.1,11,23.23,95.63,73.3,23.52,83.37,4.8
2023-01-17,25.89166667,69.3625,0,23.87,69.62,8.6,23.42,91.7,15.7,23.52,79.89,14.5
2023-01-18,25.35,66.42083333,2,25.27,60.44,0.5,24.25,85.75,2.6,23.12,80.51,11.3
2023-01-19,24.6625,68.97083333,33.6,24.38,65.85,15.9,23.55,86.66,6.7,22.76,81.11,31
2023-01-20,23.80625,74.5375,11,21.59,74.42,31.4,22.65,86.38,14.6,21.76,79.31,9.6
2023-01-21,23.85416667,75.53333333,3.8,21.8,81.02,19.3,21.8,86.42,9.6,21,88.42,29.7
2023-01-22,24.80416667,71.42083333,0,25.15,68.14,8.9,22.05,90.41,17,22.42,82.28,7.1
2023-01-23,24.825,75.15,0,22.9,77.02,10.8,23.04,92.32,17.5,23.05,83.87,18.9
2023-01-24,24.69166667,74.45,3.4,24.41,73.19,18.3,23.03,94.42,32.4,22.04,82.99,18.5
2023-01-25,25.17083333,62.725,0,25.28,61.52,6.2,22.2,89.73,6.5,23.01,78.3,5.7
2023-01-26,25.81666667,52.6375,0,24.7,70.87,21,22.41,88.72,95.2,22.62,76.79,4.3
2023-01-27,25.55,50.6625,0,25.04,68.55,5.1,23.32,91.26,76.8,23.58,74.39,6.4
2023-01-28,25.25416667,65.9375,0,25.12,69.68,0.1,23.52,91.91,15.2,22.78,81.06,10.6
2023-01-29,24.97272727,68.11818182,8.8,25.66,59.7,0.4,24.04,91.1,22.8,25.15,67.65,1
2023-01-30,24.21363636,72.79545455,4.5,24.29,70.47,17.8,21.57,95.49,15.1,24.03,66.92,0.3
2023-01-31,25.34583333,69.60833333,0.7,27.5,60.17,2.6,21.87,88.52,7.4,23.68,78.46,6.6
2023-02-01,24.32083333,76.74166667,27.4,23.59,73.08,13,21.33,91.46,14.7,23.4,76.93,10.3
2023-02-02,24.8125,75.95833333,6.8,23.77,73.9,4.3,23.08,94.94,66.9,23.77,77.23,22.5
2023-02-03,23.89583333,77.33333333,23.2,25.2,70.81,20.2,23.3,94.98,64.6,22.27,84.47,8
2023-02-04,23.8125,76.71666667,4.5,24.48,68.56,5.7,23.67,93.56,73.7,23.15,83.06,13.2
2023-02-05,24.875,76.2625,0,25.27,70.98,16,22.54,93.58,20.1,22.69,84.61,13.2
2023-02-06,23.98333333,79.675,11.9,25.4,68.48,0.4,22.42,92.83,23.7,23.32,84.46,27.1
2023-02-07,23.19583333,81.28333333,22.8,24.16,76.23,5.8,23.17,93.73,14.7,23.79,73.35,2.7
2023-02-08,23.85,75.24583333,4,25.56,66.98,7.2,22.99,89.5,13.6,23.39,68.31,0.7
2023-02-09,25.66666667,62.77916667,0,23.4,69.84,2.5,22.76,90.77,14.9,21.9,79.9,7.5
2023-02-10,25.05833333,67.925,0,21.98,78.04,22.3,22.98,89.44,20.4,23.09,71.33,3.8
2023-02-11,23.65,74.14166667,0.4,23.31,81.51,50.2,21.65,91.21,12.6,21.59,82.52,36.8
2023-02-12,24.00434783,75.43913043,1.5,25.01,63.13,2.9,22.78,89.31,2.9,22.02,79.85,13
2023-02-13,23.71363636,76.37272727,27.8,25.44,60.61,1.4,23.05,88.27,4.9,22.4,79.48,1.6
2023-02-14,24.44583333,77.36666667,1.1,24.94,69.04,13.5,24.59,84.91,10.5,23.45,77.77,5.8
2023-02-15,24.9875,73.49166667,6,25.98,55.15,4.1,24.66,88.72,4.5,23.76,80.48,18.4
2023-02-16,25.25217391,70.30434783,0,24.67,65.75,1.7,22.51,93.97,33,22.57,85.69,18.7
2023-02-17,23.86666667,77.10833333,48.6,24.11,72.15,11.6,20.12,88.03,5.2,22.69,87.44,17.6
2023-02-18,23.9,78.96666667,14.9,21.71,79.35,5.6,22.08,82.59,12.3,22.4,88.51,49.3
2023-02-19,20.99583333,77.09583333,2.5,20.94,78.2,2,22.21,89.9,5.4,19.55,78.1,1.8
2023-02-20,23.77916667,69.2,0.9,21.25,74.06,0.4,20.67,86.54,11,20.68,82.84,4.9
2023-02-21,24.48333333,70.29583333,0,22.03,72.64,0.7,22.76,81.77,5.9,21.09,85.98,7.6
2023-02-22,24.19130435,70.9173913,5.1,23.35,75.65,9.5,24.12,83.94,3.2,23.23,77.99,5.9
2023-02-23,24.58333333,69.92916667,0.7,25.13,65.06,1,24.91,85.47,10.1,23.85,77.73,5.1
2023-02-24,24.23333333,72.275,0.2,23.53,64.61,0.1,24.58,86.81,7.7,23.03,81.92,3.2
2023-02-25,25.2125,70.51666667,2.1,23.57,71.6,15.6,24.4,84.13,5.5,21.97,73.67,0.1
2023-02-26,25.5125,69.425,0,23.34,74.43,25,24.78,86.57,11.3,23.62,76.77,4.8
2023-02-27,25.54166667,71.0125,4.2,26.45,63.12,14.6,25.06,90.23,18.8,24.53,76.9,6.4
2023-02-28,23.7375,74.0125,2.5,27.37,56.9,0,24.78,90.35,22.5,22.98,84.06,9.8
2023-03-01,23.22916667,73.2375,6.8,28.02,53.85,0,23.8,90.37,9.5,23.21,80.47,6.5
2023-03-02,25.20833333,67.95833333,0,25.21,68.84,18.9,23.19,88.58,5.4,22.3,81.95,14.5
2023-03-03,27.25,59.0875,0,21.06,79.5,0.1,24.47,89.43,9.8,24.02,75.45,6.6
2023-03-04,23.3875,82.0125,26.6,24.84,66.31,5.4,24.36,88.23,9.9,24.89,70.73,1.4
2023-03-05,23.12083333,78.59166667,7.8,24.17,68.38,5.9,23.69,88.67,6.4,25,68.96,5
2023-03-06,24.6,67.86666667,0.9,21.01,74.75,0,22.99,89.5,8.7,22.93,83.05,10.8
2023-03-07,24.29583333,63.04583333,2.5,24.89,67.85,0.1,23.72,87.95,17.3,22.96,79.4,8.8
2023-03-08,25.05833333,62.85833333,5.5,24.55,64.92,5.8,24.34,86.12,6.9,23.87,74.95,7.6
2023-03-09,23.575,75.75833333,10.3,23.46,76.87,11.5,24.66,82.03,5.2,22.97,79.39,16.7
2023-03-10,23.26666667,77.2875,9.3,23.07,71.27,13.7,25,81.27,5.5,24.59,69.96,4.5
2023-03-11,21.95833333,83.83333333,26.5,24.28,67.08,23.6,24.67,84.35,4,25.8,62.05,0
2023-03-12,23.11666667,79.78333333,3.9,25.56,61.42,2.6,23.35,93.92,14.2,23.41,79.57,5.7
2023-03-13,23.65833333,75.65416667,4.7,22,69.42,0,21.6,87.01,5.5,22.78,78.73,8.4
2023-03-14,23.25416667,79.94166667,47.7,23.12,76.9,0,21.41,89.81,22.7,22.96,66.91,0.7
2023-03-15,24.025,73.25416667,0.9,24.67,71.22,1.5,23.97,90.01,9.9,21.2,74.03,0.1
2023-03-16,24.82916667,63.575,4.5,24.47,64.91,0,22.72,83.52,2.1,22.44,63.16,0.3
2023-03-17,24.38333333,60.675,0,21.24,75.51,0,23.22,74.39,0,23.05,65.12,0.4
2023-03-18,24.65416667,60.69166667,0,22.35,70.34,0.7,22.89,73.24,0.2,22.53,68.54,0.5
2023-03-19,25.75833333,61.4,0,22.43,69.5,2.4,22.81,73.92,0.2,22.83,68.61,0.4
2023-03-20,26.24166667,63.66666667,0,25.02,58.24,0.4,23.04,79.65,2.7,23.16,65.38,0
2023-03-21,24.35416667,67.7625,4.2,22.61,60.88,0,21.9,87.52,5,24.18,66.23,0.4
2023-03-22,25.075,63.10416667,0,23.95,69,4.6,22.79,80.4,1.5,23.79,63.65,0
2023-03-23,25.58333333,58.28333333,0,22.75,74.53,19.7,22.83,82.7,4.2,23.7,74.61,7.5
2023-03-24,25.70416667,64.29583333,0,23.01,78.88,17.3,23.72,86.12,9.1,22.79,80.88,8.3
2023-03-25,25.6625,60.35,0,20.57,76.55,0.3,23.58,84.42,8.6,22.85,79.23,7.4
2023-03-26,26.83333333,62.49166667,0,25.52,50.56,0,23,82.5,1.3,22.42,73.51,1.5
2023-03-27,24.725,67.27083333,0,23.54,64.59,0.2,25.68,73.15,0,24.14,72.25,3.1
2023-03-28,23.95833333,66.6875,15.3,24.49,64.68,7.6,24.54,70.09,0,23.54,76.32,1.6
2023-03-29,24.5,72.12083333,1.2,26.8,50.15,0,22.26,75.81,0,23.1,75.87,2.1
2023-03-30,24.46666667,69.95416667,1.3,27.74,48.44,0,23.07,84.53,5.5,23.43,77.5,10.5
2023-03-31,25.34782609,65.77826087,1,26.37,54.74,0,22.64,88.77,10.9,22.71,78.31,1.1
2023-04-01,24.4,68.96666667,0,24.74,58.74,2.9,22.63,85.15,7.9,21.4,79.79,2.5
2023-04-02,22.43333333,64.775,0,23.97,60.65,0,21.11,85.57,8.1,18.87,80.12,0.7
2023-04-03,22.32083333,63.75833333,0,23.58,61.56,9,16.81,81.43,0,19.14,71.1,0.2
2023-04-04,23.07916667,65.69583333,0,25.25,57.89,0,21.07,76.4,0,20.62,64.4,0
2023-04-05,22.325,67.8,0,21.75,64.68,0,21.93,85.65,1.7,21.5,66.81,0
2023-04-06,23.10416667,63.72916667,0,21.15,70.23,0,22.62,85.81,9.4,21.94,65.45,0
2023-04-07,20.67916667,83.30833333,26.6,24.48,62.32,1.3,21.85,84.78,6.3,21.07,76.7,3.1
2023-04-08,21.41666667,80.84583333,0,21.01,74.35,25.9,20.89,88.17,1.4,21.29,69.09,0
