Data,Temp_OBS,UR_OBS,Prec_OBS
01/jan,25.325,66.04166667,0
02/jan,25.18181818,65.8,0
03/jan,25.15,68.40833333,0
04/jan,22.85217391,80.73043478,40.4
05/jan,18.86666667,86.85833333,9
06/jan,18.93913043,72.98695652,0
07/jan,19.55263158,70.33684211,0
08/jan,21.13636364,66.72272727,0
09/jan,21.90434783,73.29565217,2.2
10/jan,22.30434783,78.23478261,24.2
11/jan,22.35833333,80.4875,11.4
12/jan,22.66666667,78.23333333,17.4
13/jan,24.11666667,78.5875,23.4
14/jan,23.64583333,77.35,40
15/jan,25.27083333,76.59583333,5
16/jan,26.24166667,71.05,0.7
17/jan,25.89166667,69.3625,0
18/jan,25.35,66.42083333,2
19/jan,24.6625,68.97083333,33.6
20/jan,23.80625,74.5375,11
21/jan,23.85416667,75.53333333,3.8
22/jan,24.80416667,71.42083333,0
23/jan,24.825,75.15,0
24/jan,24.69166667,74.45,3.4
25/jan,25.17083333,62.725,0
26/jan,25.81666667,52.6375,0
27/jan,25.55,50.6625,0
28/jan,25.25416667,65.9375,0
29/jan,24.97272727,68.11818182,8.8
30/jan,24.21363636,72.79545455,4.5
31/jan,25.34583333,69.60833333,0.7
01/fev,24.32083333,76.74166667,27.4
02/fev,24.8125,75.95833333,6.8
03/fev,23.89583333,77.33333333,23.2
04/fev,23.8125,76.71666667,4.5
05/fev,24.875,76.2625,0
06/fev,23.98333333,79.675,11.9
07/fev,23.19583333,81.28333333,22.8
08/fev,23.85,75.24583333,4
09/fev,25.66666667,62.77916667,0
10/fev,25.05833333,67.925,0
11/fev,23.65,74.14166667,0.4
12/fev,24.00434783,75.43913043,1.5
13/fev,23.71363636,76.37272727,27.8
14/fev,24.44583333,77.36666667,1.1
15/fev,24.9875,73.49166667,6
16/fev,25.25217391,70.30434783,0
17/fev,23.86666667,77.10833333,48.6
18/fev,23.9,78.96666667,14.9
19/fev,20.99583333,77.09583333,2.5
20/fev,23.77916667,69.2,0.9
21/fev,24.48333333,70.29583333,0
22/fev,24.19130435,70.9173913,5.1
23/fev,24.58333333,69.92916667,0.7
24/fev,24.23333333,72.275,0.2
25/fev,25.2125,70.51666667,2.1
26/fev,25.5125,69.425,0
27/fev,25.54166667,71.0125,4.2
28/fev,23.7375,74.0125,2.5
01/mar,23.22916667,73.2375,6.8
02/mar,25.20833333,67.95833333,0
03/mar,27.25,59.0875,0
04/mar,23.3875,82.0125,26.6
05/mar,23.12083333,78.59166667,7.8
06/mar,24.6,67.86666667,0.9
07/mar,24.29583333,63.04583333,2.5
08/mar,25.05833333,62.85833333,5.5
09/mar,23.575,75.75833333,10.3
10/mar,23.26666667,77.2875,9.3
11/mar,21.95833333,83.83333333,26.5
12/mar,23.11666667,79.78333333,3.9
13/mar,23.65833333,75.65416667,4.7
