Data,Temp_BRAMS,UR_BRAMS,Prec_BRAMS
2023-01-01,23.69,83.33,13.1
2023-01-02,23.25,88.02,16.8
2023-01-03,23.41,89.93,12.3
2023-01-04,22.79,96.11,60.5
2023-01-05,20.22,92.06,7.4
2023-01-06,19.59,82.12,0.0
2023-01-07,18.46,86.32,0.5
2023-01-08,20.82,90.07,14.5
2023-01-09,22.16,93.07,8.8
2023-01-10,22.39,91.48,25.4
2023-01-11,23.2,90.67,17.0
2023-01-12,23.24,92.08,15.7
2023-01-13,22.65,92.25,10.3
2023-01-14,23.84,86.46,11.9
2023-01-15,23.6,89.35,6.1
2023-01-16,23.23,95.63,73.3
2023-01-17,23.42,91.7,15.7
2023-01-18,24.25,85.75,2.6
2023-01-19,23.55,86.66,6.7
2023-01-20,22.65,86.38,14.6
2023-01-21,21.8,86.42,9.6
2023-01-22,22.05,90.41,17.0
2023-01-23,23.04,92.32,17.5
2023-01-24,23.03,94.42,32.4
2023-01-25,22.2,89.73,6.5
2023-01-26,22.41,88.72,95.2
2023-01-27,23.32,91.26,76.8
2023-01-28,23.52,91.91,15.2
2023-01-29,24.04,91.1,22.8
2023-01-30,21.57,95.49,15.1
2023-01-31,21.87,88.52,7.4
2023-02-01,21.33,91.46,14.7
2023-02-02,23.08,94.94,66.9
2023-02-03,23.3,94.98,64.6
2023-02-04,23.67,93.56,73.7
2023-02-05,22.54,93.58,20.1
2023-02-06,22.42,92.83,23.7
2023-02-07,23.17,93.73,14.7
2023-02-08,22.99,89.5,13.6
2023-02-09,22.76,90.77,14.9
2023-02-10,22.98,89.44,20.4
2023-02-11,21.65,91.21,12.6
2023-02-12,22.78,89.31,2.9
2023-02-13,23.05,88.27,4.9
2023-02-14,24.59,84.91,10.5
2023-02-15,24.66,88.72,4.5
2023-02-16,22.51,93.97,33.0
2023-02-17,20.12,88.03,5.2
2023-02-18,22.08,82.59,12.3
2023-02-19,22.21,89.9,5.4
2023-02-20,20.67,86.54,11.0
2023-02-21,22.76,81.77,5.9
2023-02-22,24.12,83.94,3.2
2023-02-23,24.91,85.47,10.1
2023-02-24,24.58,86.81,7.7
2023-02-25,24.4,84.13,5.5
2023-02-26,24.78,86.57,11.3
2023-02-27,25.06,90.23,18.8
2023-02-28,24.78,90.35,22.5
2023-03-01,23.8,90.37,9.5
2023-03-02,23.19,88.58,5.4
2023-03-03,24.47,89.43,9.8
2023-03-04,24.36,88.23,9.9
2023-03-05,23.69,88.67,6.4
2023-03-06,22.99,89.5,8.7
2023-03-07,23.72,87.95,17.3
2023-03-08,24.34,86.12,6.9
2023-03-09,24.66,82.03,5.2
2023-03-10,25.0,81.27,5.5
2023-03-11,24.67,84.35,4.0
2023-03-12,23.35,93.92,14.2
2023-03-13,21.6,87.01,5.5
2023-03-14,21.41,89.81,22.7
2023-03-15,23.97,90.01,9.9
2023-03-16,22.72,83.52,2.1
2023-03-17,23.22,74.39,0.0
2023-03-18,22.89,73.24,0.2
2023-03-19,22.81,73.92,0.2
2023-03-20,23.04,79.65,2.7
2023-03-21,21.9,87.52,5.0
2023-03-22,22.79,80.4,1.5
2023-03-23,22.83,82.7,4.2
2023-03-24,23.72,86.12,9.1
2023-03-25,23.58,84.42,8.6
2023-03-26,23.0,82.5,1.3
2023-03-27,25.68,73.15,0.0
2023-03-28,24.54,70.09,0.0
2023-03-29,22.26,75.81,0.0
2023-03-30,23.07,84.53,5.5
2023-03-31,22.64,88.77,10.9
2023-04-01,22.63,85.15,7.9
2023-04-02,21.11,85.57,8.1
2023-04-03,16.81,81.43,0.0
2023-04-04,21.07,76.4,0.0
2023-04-05,21.93,85.65,1.7
2023-04-06,22.62,85.81,9.4
2023-04-07,21.85,84.78,6.3
2023-04-08,20.89,88.17,1.4
2023-04-09,21.23,92.97,11.4
2023-04-10,21.24,86.81,0.9
2023-04-11,20.95,78.73,0.0
2023-04-12,22.38,73.25,0.0
2023-04-13,22.04,74.9,0.0
2023-04-14,22.9,66.77,0.0
2023-04-15,23.55,75.95,4.6
2023-04-16,21.93,92.42,10.7
2023-04-17,22.71,85.03,5.3
2023-04-18,21.45,82.83,0.0
2023-04-19,20.44,90.76,10.0
2023-04-20,20.98,93.87,11.4
2023-04-21,19.9,79.0,0.5
2023-04-22,17.6,80.81,0.0
2023-04-23,17.95,86.52,0.0
2023-04-24,20.2,71.0,0.0
2023-04-25,18.94,77.98,0.0
2023-04-26,21.91,69.66,1.0
2023-04-27,23.42,76.57,0.0
2023-04-28,21.45,70.59,0.0
2023-04-29,18.68,70.29,0.0
2023-04-30,20.14,67.53,0.0
2023-05-01,21.03,74.2,0.0
2023-05-02,20.24,79.26,0.0
2023-05-03,22.83,63.06,0.0
2023-05-04,22.18,82.62,3.3
2023-05-05,22.63,89.88,17.7
2023-05-06,22.13,84.41,0.7
2023-05-07,21.04,78.38,0.0
2023-05-08,18.78,83.31,2.5
2023-05-09,20.75,72.64,0.0
2023-05-10,22.98,62.27,0.0
2023-05-11,22.32,72.72,3.2
2023-05-12,20.55,81.65,0.8
2023-05-13,16.75,88.11,1.5
2023-05-14,15.82,84.08,0.0
2023-05-15,13.2,76.08,0.0
2023-05-16,14.1,76.79,0.0
2023-05-17,15.51,75.97,0.0
2023-05-18,17.68,67.49,0.0
2023-05-19,19.27,68.0,0.0
2023-05-20,19.04,65.27,0.0
2023-05-21,18.27,62.79,0.0
2023-05-22,18.82,63.47,0.0
2023-05-23,20.54,68.58,0.0
2023-05-24,21.17,70.55,0.0
2023-05-25,21.6,63.6,0.0
2023-05-26,23.63,60.76,0.0
2023-05-27,21.28,70.85,3.5
2023-05-28,21.74,73.84,3.5
2023-05-29,19.79,86.7,4.5
2023-05-30,19.59,80.32,0.0
2023-05-31,20.52,70.81,1.0
2023-06-01,18.35,90.9,4.5
2023-06-02,16.78,85.78,0.0
2023-06-03,14.26,87.07,0.0
2023-06-04,16.21,83.81,0.0
2023-06-05,14.32,92.37,0.0
2023-06-06,16.81,87.07,1.0
2023-06-07,14.12,76.27,0.0
2023-06-08,17.7,67.42,0.0
2023-06-09,19.63,62.54,0.0
2023-06-10,18.45,69.31,0.0
2023-06-11,17.69,69.78,0.0
2023-06-12,17.5,77.51,0.0
2023-06-13,19.08,77.56,0.0
2023-06-14,19.24,77.86,0.0
2023-06-15,16.75,91.98,0.8
2023-06-16,15.45,84.8,0.0
2023-06-17,16.64,81.67,0.2
2023-06-18,17.33,85.23,1.9
2023-06-19,15.6,88.01,0.0
2023-06-20,17.8,85.26,0.0
2023-06-21,15.93,86.94,0.0
2023-06-22,19.6,67.27,0.0
2023-06-23,19.29,68.08,2.5
2023-06-24,19.14,62.14,0.0
2023-06-25,20.29,61.81,0.0
2023-06-26,20.88,66.38,0.5
2023-06-27,20.26,80.07,0.0
2023-06-28,21.28,64.7,0.0
2023-06-29,19.42,80.31,2.0
2023-06-30,18.15,80.72,0.0
2023-07-01,19.04,75.28,0.0
2023-07-02,19.02,64.5,0.0
2023-07-03,14.81,76.0,0.0
2023-07-04,15.38,73.36,0.0
2023-07-05,17.25,64.48,0.0
2023-07-06,16.22,72.05,0.0
2023-07-07,18.79,59.02,0.0
2023-07-08,18.44,54.66,0.0
2023-07-09,18.23,64.67,0.0
2023-07-10,20.14,67.77,0.0
2023-07-11,20.5,67.85,0.0
2023-07-12,21.64,53.12,0.0
2023-07-13,19.17,64.99,0.0
2023-07-14,11.78,79.82,0.2
2023-07-15,13.42,83.24,0.0
2023-07-16,16.55,66.69,0.0
2023-07-17,14.96,73.22,0.0
2023-07-18,17.49,67.44,0.0
2023-07-19,15.96,76.23,0.0
2023-07-20,19.4,71.62,0.0
2023-07-21,20.3,70.17,0.0
2023-07-22,19.55,73.5,0.0
2023-07-23,18.99,69.9,0.0
2023-07-24,19.13,65.0,0.0
2023-07-25,19.03,65.73,0.0
2023-07-26,21.42,61.53,0.0
2023-07-27,19.64,76.44,0.0
2023-07-28,19.11,84.81,0.2
2023-07-29,19.12,84.76,0.5
2023-07-30,19.61,71.92,0.0
2023-07-31,16.68,73.75,0.0
2023-08-01,15.77,67.53,0.0
2023-08-02,15.62,70.35,0.0
2023-08-03,17.89,70.5,0.0
2023-08-04,18.76,65.06,0.0
2023-08-05,18.42,70.5,0.0
2023-08-06,21.02,65.76,0.0
2023-08-07,20.84,56.28,0.0
2023-08-08,21.35,59.47,0.0
2023-08-09,22.07,54.78,0.0
2023-08-10,21.88,64.25,0.0
2023-08-11,22.78,52.18,0.0
2023-08-12,22.37,59.28,0.0
2023-08-13,16.75,85.27,1.7
2023-08-14,14.14,83.68,0.0
2023-08-15,15.44,78.69,0.0
2023-08-16,15.99,86.18,0.2
2023-08-17,18.95,68.54,0.0
2023-08-18,23.03,56.21,0.0
2023-08-19,22.0,69.77,2.5
2023-08-20,18.16,87.53,3.5
2023-08-21,15.43,94.64,35.5
2023-08-22,19.9,87.52,2.5
2023-08-23,20.82,81.94,0.0
2023-08-24,21.62,77.18,2.0
2023-08-25,19.36,89.56,1.5
2023-08-26,16.0,89.06,0.5
2023-08-27,13.97,92.08,12.0
2023-08-28,13.72,76.15,0.0
2023-08-29,12.07,74.08,0.0
2023-08-30,12.82,72.86,0.0
2023-08-31,15.99,63.95,0.0
2023-09-01,15.62,84.27,7.3
2023-09-02,21.68,73.22,0.0
2023-09-03,22.7,75.59,6.2
2023-09-04,24.21,80.99,70.2
2023-09-05,25.33,69.44,0.0
2023-09-06,25.7,57.22,0.0
2023-09-07,24.97,54.6,0.0
2023-09-08,25.49,49.4,0.0
2023-09-09,24.65,52.1,0.0
2023-09-10,22.77,67.74,2.5
2023-09-11,21.76,73.92,0.2
2023-09-12,25.1,52.86,0.0
2023-09-13,26.01,39.56,0.0
2023-09-14,28.06,40.37,0.0
2023-09-15,17.77,86.42,3.2
2023-09-16,15.87,78.05,0.0
2023-09-17,19.67,67.85,0.0
2023-09-18,24.74,50.32,0.0
2023-09-19,27.15,50.29,0.0
2023-09-20,26.0,48.69,0.0
2023-09-21,26.42,44.86,0.0
2023-09-22,27.05,39.38,0.0
2023-09-23,27.14,39.4,0.0
2023-09-24,26.27,42.8,0.0
2023-09-25,26.75,46.86,0.0
2023-09-26,26.53,58.12,0.0
2023-09-27,23.83,68.49,0.0
2023-09-28,18.85,81.27,0.0
2023-09-29,23.21,77.06,2.5
2023-09-30,25.73,76.62,8.5
2023-10-01,24.0,90.69,23.0
2023-10-02,23.33,79.62,9.0
2023-10-03,21.16,72.34,0.2
2023-10-04,23.49,76.32,4.0
2023-10-05,21.62,90.22,29.5
2023-10-06,22.94,81.49,4.8
2023-10-07,21.4,91.77,63.2
2023-10-08,19.5,94.07,10.5
2023-10-09,22.1,84.53,2.5
2023-10-10,26.26,63.58,0.0
2023-10-11,25.82,59.88,0.0
2023-10-12,25.69,61.05,0.0
2023-10-13,23.36,86.09,4.5
2023-10-14,20.25,79.94,0.0
2023-10-15,22.41,77.26,1.5
2023-10-16,24.84,74.4,3.0
2023-10-17,23.63,86.46,6.0
2023-10-18,23.62,84.2,5.5
2023-10-19,22.29,81.09,0.2
2023-10-20,22.72,77.92,1.7
2023-10-21,24.42,79.23,0.7
2023-10-22,26.93,66.44,0.0
2023-10-23,27.21,51.82,0.0
2023-10-24,26.8,55.77,2.5
2023-10-25,23.4,83.37,6.0
2023-10-26,23.42,89.47,15.5
2023-10-27,21.45,95.0,19.9
2023-10-28,22.06,92.54,32.4
2023-10-29,23.9,89.2,35.0
2023-10-30,21.6,94.02,31.0
2023-10-31,18.51,89.21,13.5
2023-11-01,21.52,89.61,25.0
2023-11-02,25.33,82.39,4.0
2023-11-03,25.23,84.84,10.0
2023-11-04,20.78,86.67,9.0
2023-11-05,20.54,69.24,0.0
2023-11-06,20.32,62.33,0.0
2023-11-07,22.22,58.64,0.0
2023-11-08,23.15,63.34,0.0
2023-11-09,25.39,71.47,3.5
2023-11-10,24.42,76.48,2.5
2023-11-11,26.91,64.21,1.0
2023-11-12,25.19,75.98,0.5
2023-11-13,23.68,70.02,0.0
2023-11-14,26.97,61.9,0.5
2023-11-15,29.8,58.78,0.5
2023-11-16,26.14,65.52,0.0
2023-11-17,30.83,52.83,0.0
2023-11-18,33.97,35.82,0.0
2023-11-19,26.47,72.63,24.8
2023-11-20,23.32,79.52,2.2
2023-11-21,25.47,71.65,3.0
2023-11-22,28.3,68.56,1.0
2023-11-23,28.32,71.35,1.5
2023-11-24,28.49,70.7,6.5
2023-11-25,22.98,82.8,4.7
2023-11-26,21.04,87.66,8.8
