Data,Temp_ETA,UR_ETA,Prec_ETA
2023-01-01,23.11,75.04,0.7
2023-01-02,23.92,66.58,5.2
2023-01-03,25.21,65.36,13.5
2023-01-04,24.21,77.08,37.7
2023-01-05,20.54,74.32,4.1
2023-01-06,17.88,80.24,13.9
2023-01-07,17.75,81.46,23.9
2023-01-08,20.84,76.43,4.8
2023-01-09,22.52,73.36,1.3
2023-01-10,22.88,71.23,12.6
2023-01-11,23.21,71.04,4.7
2023-01-12,22.99,71.23,15.4
2023-01-13,26.18,58.22,3.3
2023-01-14,24.16,73.89,14.6
2023-01-15,22.49,74.34,25.8
2023-01-16,24.43,73.1,11.0
2023-01-17,23.87,69.62,8.6
2023-01-18,25.27,60.44,0.5
2023-01-19,24.38,65.85,15.9
2023-01-20,21.59,74.42,31.4
2023-01-21,21.8,81.02,19.3
2023-01-22,25.15,68.14,8.9
2023-01-23,22.9,77.02,10.8
2023-01-24,24.41,73.19,18.3
2023-01-25,25.28,61.52,6.2
2023-01-26,24.7,70.87,21.0
2023-01-27,25.04,68.55,5.1
2023-01-28,25.12,69.68,0.1
2023-01-29,25.66,59.7,0.4
2023-01-30,24.29,70.47,17.8
2023-01-31,27.5,60.17,2.6
2023-02-01,23.59,73.08,13.0
2023-02-02,23.77,73.9,4.3
2023-02-03,25.2,70.81,20.2
2023-02-04,24.48,68.56,5.7
2023-02-05,25.27,70.98,16.0
2023-02-06,25.4,68.48,0.4
2023-02-07,24.16,76.23,5.8
2023-02-08,25.56,66.98,7.2
2023-02-09,23.4,69.84,2.5
2023-02-10,21.98,78.04,22.3
2023-02-11,23.31,81.51,50.2
2023-02-12,25.01,63.13,2.9
2023-02-13,25.44,60.61,1.4
2023-02-14,24.94,69.04,13.5
2023-02-15,25.98,55.15,4.1
2023-02-16,24.67,65.75,1.7
2023-02-17,24.11,72.15,11.6
2023-02-18,21.71,79.35,5.6
2023-02-19,20.94,78.2,2.0
2023-02-20,21.25,74.06,0.4
2023-02-21,22.03,72.64,0.7
2023-02-22,23.35,75.65,9.5
2023-02-23,25.13,65.06,1.0
2023-02-24,23.53,64.61,0.1
2023-02-25,23.57,71.6,15.6
2023-02-26,23.34,74.43,25.0
2023-02-27,26.45,63.12,14.6
2023-02-28,27.37,56.9,0.0
2023-03-01,28.02,53.85,0.0
2023-03-02,25.21,68.84,18.9
2023-03-03,21.06,79.5,0.1
2023-03-04,24.84,66.31,5.4
2023-03-05,24.17,68.38,5.9
2023-03-06,21.01,74.75,0.0
2023-03-07,24.89,67.85,0.1
2023-03-08,24.55,64.92,5.8
2023-03-09,23.46,76.87,11.5
2023-03-10,23.07,71.27,13.7
2023-03-11,24.28,67.08,23.6
2023-03-12,25.56,61.42,2.6
2023-03-13,22.0,69.42,0.0
2023-03-14,23.12,76.9,0.0
2023-03-15,24.67,71.22,1.5
2023-03-16,24.47,64.91,0.0
2023-03-17,21.24,75.51,0.0
2023-03-18,22.35,70.34,0.7
2023-03-19,22.43,69.5,2.4
2023-03-20,25.02,58.24,0.4
2023-03-21,22.61,60.88,0.0
2023-03-22,23.95,69.0,4.6
2023-03-23,22.75,74.53,19.7
2023-03-24,23.01,78.88,17.3
2023-03-25,20.57,76.55,0.3
2023-03-26,25.52,50.56,0.0
2023-03-27,23.54,64.59,0.2
2023-03-28,24.49,64.68,7.6
2023-03-29,26.8,50.15,0.0
2023-03-30,27.74,48.44,0.0
2023-03-31,26.37,54.74,0.0
2023-04-01,24.74,58.74,2.9
2023-04-02,23.97,60.65,0.0
2023-04-03,23.58,61.56,9.0
2023-04-04,25.25,57.89,0.0
2023-04-05,21.75,64.68,0.0
2023-04-06,21.15,70.23,0.0
2023-04-07,24.48,62.32,1.3
2023-04-08,21.01,74.35,25.9
2023-04-09,22.69,75.71,0.2
2023-04-10,24.0,68.59,0.0
2023-04-11,19.6,43.74,0.0
2023-04-12,23.15,68.98,2.1
2023-04-13,25.44,58.0,0.0
2023-04-14,24.01,67.88,13.0
2023-04-15,20.86,77.15,5.0
2023-04-16,19.09,74.89,0.0
2023-04-17,23.2,74.04,20.9
2023-04-18,25.54,68.0,12.2
2023-04-19,23.91,62.79,7.2
2023-04-20,22.38,79.54,25.8
2023-04-21,19.5,79.18,8.6
2023-04-22,21.69,76.23,2.9
2023-04-23,23.21,72.7,3.2
2023-04-24,22.45,78.28,27.2
2023-04-25,19.84,78.25,1.8
2023-04-26,23.84,64.52,2.0
2023-04-27,23.9,55.72,0.0
2023-04-28,24.16,55.66,0.0
2023-04-29,24.55,56.11,0.0
2023-04-30,25.12,47.07,0.0
2023-05-01,24.33,58.23,0.0
2023-05-02,22.08,56.75,0.0
2023-05-03,24.45,60.8,0.0
2023-05-04,25.19,54.73,0.0
2023-05-05,25.32,55.63,0.6
2023-05-06,23.47,62.32,0.0
2023-05-07,23.16,64.29,4.6
2023-05-08,17.63,73.58,0.8
2023-05-09,19.9,75.92,3.4
2023-05-10,18.35,76.39,0.0
2023-05-11,20.75,74.73,2.8
2023-05-12,17.78,63.65,0.0
2023-05-13,19.32,73.45,15.2
2023-05-14,21.54,70.76,1.3
2023-05-15,21.75,69.23,23.6
2023-05-16,18.17,71.49,0.0
2023-05-17,22.48,64.94,0.3
2023-05-18,20.12,50.47,0.9
2023-05-19,19.84,61.01,0.0
2023-05-20,23.22,68.35,16.3
2023-05-21,22.91,67.09,2.5
2023-05-22,23.68,47.46,0.0
2023-05-23,21.46,49.19,0.0
2023-05-24,20.1,55.47,0.0
2023-05-25,21.2,58.88,0.0
2023-05-26,19.99,64.75,0.0
2023-05-27,20.32,55.83,0.0
2023-05-28,20.33,57.93,4.9
2023-05-29,21.08,52.89,1.2
2023-05-30,17.31,58.1,0.0
2023-05-31,21.23,62.89,3.1
2023-06-01,16.19,70.73,0.1
2023-06-02,18.97,57.01,0.0
2023-06-03,21.88,68.88,0.0
2023-06-04,16.88,64.71,0.0
2023-06-05,21.07,49.05,0.0
2023-06-06,21.7,54.74,0.0
2023-06-07,17.63,62.04,0.0
2023-06-08,19.57,51.38,0.0
2023-06-09,19.68,52.47,0.0
2023-06-10,20.27,52.69,0.0
2023-06-11,20.79,48.74,0.0
2023-06-12,22.53,46.62,0.0
2023-06-13,17.98,76.02,6.2
2023-06-14,22.08,53.85,0.0
2023-06-15,22.2,51.78,0.0
2023-06-16,20.58,68.72,0.0
2023-06-17,22.57,51.72,0.5
2023-06-18,17.15,82.6,19.5
2023-06-19,20.05,70.2,15.0
2023-06-20,20.64,53.31,0.0
2023-06-21,19.78,50.78,0.0
2023-06-22,21.41,49.32,0.0
2023-06-23,20.03,53.65,0.0
2023-06-24,20.79,52.48,0.0
2023-06-25,21.17,58.92,0.0
2023-06-26,20.03,48.72,0.0
2023-06-27,21.04,52.3,0.0
2023-06-28,21.2,51.03,0.0
2023-06-29,20.15,43.92,0.0
2023-06-30,18.3,68.54,0.0
2023-07-01,21.52,51.9,0.0
2023-07-02,19.55,49.44,0.0
2023-07-03,17.34,58.53,0.0
2023-07-04,20.56,57.16,5.2
2023-07-05,19.22,71.74,19.1
2023-07-06,19.55,43.64,0.0
2023-07-07,20.82,49.86,0.0
2023-07-08,20.33,52.16,0.0
2023-07-09,20.98,38.24,0.0
2023-07-10,23.35,38.05,0.0
2023-07-11,22.43,45.95,0.0
2023-07-12,22.22,50.81,0.0
2023-07-13,22.53,53.1,0.0
2023-07-14,20.79,69.07,3.4
2023-07-15,22.54,59.2,13.6
2023-07-16,21.54,64.53,5.2
2023-07-17,22.01,55.65,0.0
2023-07-18,22.56,49.02,0.0
