Data,Temp_WRF,UR_WRF,Prec_WRF
2023-01-01,22.98,77.25,6.6
2023-01-02,23.48,74.07,1.5
2023-01-03,23.45,74.41,5.9
2023-01-04,22.02,87.78,27.7
2023-01-05,20.92,84.19,6.0
2023-01-06,17.38,83.9,19.3
2023-01-07,17.28,83.58,8.4
2023-01-08,19.15,89.5,23.1
2023-01-09,21.32,75.41,2.7
2023-01-10,23.43,80.1,1.0
2023-01-11,22.57,81.38,3.7
2023-01-12,22.44,81.02,6.6
2023-01-13,22.93,80.26,1.7
2023-01-14,24.32,76.82,6.3
2023-01-15,24.05,78.63,13.0
2023-01-16,23.52,83.37,4.8
2023-01-17,23.52,79.89,14.5
2023-01-18,23.12,80.51,11.3
2023-01-19,22.76,81.11,31.0
2023-01-20,21.76,79.31,9.6
2023-01-21,21.0,88.42,29.7
2023-01-22,22.42,82.28,7.1
2023-01-23,23.05,83.87,18.9
2023-01-24,22.04,82.99,18.5
2023-01-25,23.01,78.3,5.7
2023-01-26,22.62,76.79,4.3
2023-01-27,23.58,74.39,6.4
2023-01-28,22.78,81.06,10.6
2023-01-29,25.15,67.65,1.0
2023-01-30,24.03,66.92,0.3
2023-01-31,23.68,78.46,6.6
2023-02-01,23.4,76.93,10.3
2023-02-02,23.77,77.23,22.5
2023-02-03,22.27,84.47,8.0
2023-02-04,23.15,83.06,13.2
2023-02-05,22.69,84.61,13.2
2023-02-06,23.32,84.46,27.1
2023-02-07,23.79,73.35,2.7
2023-02-08,23.39,68.31,0.7
2023-02-09,21.9,79.9,7.5
2023-02-10,23.09,71.33,3.8
2023-02-11,21.59,82.52,36.8
2023-02-12,22.02,79.85,13.0
2023-02-13,22.4,79.48,1.6
2023-02-14,23.45,77.77,5.8
2023-02-15,23.76,80.48,18.4
2023-02-16,22.57,85.69,18.7
2023-02-17,22.69,87.44,17.6
2023-02-18,22.4,88.51,49.3
2023-02-19,19.55,78.1,1.8
2023-02-20,20.68,82.84,4.9
2023-02-21,21.09,85.98,7.6
2023-02-22,23.23,77.99,5.9
2023-02-23,23.85,77.73,5.1
2023-02-24,23.03,81.92,3.2
2023-02-25,21.97,73.67,0.1
2023-02-26,23.62,76.77,4.8
2023-02-27,24.53,76.9,6.4
2023-02-28,22.98,84.06,9.8
2023-03-01,23.21,80.47,6.5
2023-03-02,22.3,81.95,14.5
2023-03-03,24.02,75.45,6.6
2023-03-04,24.89,70.73,1.4
2023-03-05,25.0,68.96,5.0
2023-03-06,22.93,83.05,10.8
2023-03-07,22.96,79.4,8.8
2023-03-08,23.87,74.95,7.6
2023-03-09,22.97,79.39,16.7
2023-03-10,24.59,69.96,4.5
2023-03-11,25.8,62.05,0.0
2023-03-12,23.41,79.57,5.7
2023-03-13,22.78,78.73,8.4
2023-03-14,22.96,66.91,0.7
2023-03-15,21.2,74.03,0.1
2023-03-16,22.44,63.16,0.3
2023-03-17,23.05,65.12,0.4
2023-03-18,22.53,68.54,0.5
2023-03-19,22.83,68.61,0.4
2023-03-20,23.16,65.38,0.0
2023-03-21,24.18,66.23,0.4
2023-03-22,23.79,63.65,0.0
2023-03-23,23.7,74.61,7.5
2023-03-24,22.79,80.88,8.3
2023-03-25,22.85,79.23,7.4
2023-03-26,22.42,73.51,1.5
2023-03-27,24.14,72.25,3.1
2023-03-28,23.54,76.32,1.6
2023-03-29,23.1,75.87,2.1
2023-03-30,23.43,77.5,10.5
2023-03-31,22.71,78.31,1.1
2023-04-01,21.4,79.79,2.5
2023-04-02,18.87,80.12,0.7
2023-04-03,19.14,71.1,0.2
2023-04-04,20.62,64.4,0.0
2023-04-05,21.5,66.81,0.0
2023-04-06,21.94,65.45,0.0
2023-04-07,21.07,76.7,3.1
2023-04-08,21.29,69.09,0.0
2023-04-09,22.02,74.32,0.9
2023-04-10,21.95,77.98,17.7
2023-04-11,22.18,77.35,2.4
2023-04-12,22.3,79.61,3.5
2023-04-13,21.67,71.95,0.7
2023-04-14,21.48,66.46,0.5
2023-04-15,21.0,81.15,1.3
2023-04-16,20.48,75.29,0.7
2023-04-17,19.97,70.19,0.0
2023-04-18,21.89,65.79,0.0
2023-04-19,23.14,66.49,2.2
2023-04-20,22.4,84.92,11.8
2023-04-21,19.05,69.12,0.0
2023-04-22,16.47,68.73,0.0
2023-04-23,18.62,69.45,0.0
2023-04-24,19.92,67.51,0.0
2023-04-25,19.97,66.49,0.0
2023-04-26,20.83,63.4,0.0
2023-04-27,21.55,70.98,1.6
2023-04-28,19.32,70.98,0.6
2023-04-29,19.12,68.82,0.0
2023-04-30,20.57,70.86,0.0
2023-05-01,20.76,71.94,0.0
2023-05-02,21.68,65.07,0.0
2023-05-03,22.42,64.11,0.0
