Data,Temp_media,UR_media,Prec_total
2023-01-01,21.4,88.22,110.6
2023-01-02,22.2,87.41,100.8
2023-01-03,20.77,88.6,131.5
2023-01-04,20.68,89.05,132.1
2023-01-05,20.52,89.6,74.0
2023-01-06,20.98,88.45,86.6
2023-01-07,21.86,85.42,52.3
2023-01-08,22.4,88.18,85.5
2023-01-09,23.07,91.27,131.6
2023-01-10,23.55,91.15,331.4
2023-01-11,24.12,91.09,138.0
2023-01-12,24.47,88.24,90.2
2023-01-13,24.47,86.4,88.1
2023-01-14,24.45,82.65,61.7
2023-01-15,24.03,82.46,44.0
2023-01-16,23.5,85.03,65.6
2023-01-17,23.07,88.04,249.4
2023-01-18,23.18,89.36,96.8
2023-01-19,23.1,88.49,111.9
2023-01-20,23.09,88.4,221.8
2023-01-21,22.99,88.61,78.7
2023-01-22,23.57,88.17,78.8
2023-01-23,23.24,88.42,100.0
2023-01-24,23.24,84.29,61.3
2023-01-25,23.06,76.01,36.9
2023-01-26,23.22,80.88,57.5
2023-01-27,22.94,88.95,252.0
2023-01-28,23.13,91.49,301.3
2023-01-29,23.52,91.75,194.9
2023-01-30,23.62,91.58,135.9
2023-01-31,23.85,92.19,128.7
2023-02-01,23.59,92.63,192.5
2023-02-02,23.58,91.99,115.8
2023-02-03,23.31,89.44,118.4
2023-02-04,23.42,87.42,103.5
2023-02-05,22.92,88.49,55.4
2023-02-06,22.25,88.39,64.5
2023-02-07,23.0,87.68,41.8
2023-02-08,23.14,86.16,60.1
2023-02-09,23.91,84.24,69.1
2023-02-10,23.53,89.44,123.9
2023-02-11,22.51,91.16,103.0
2023-02-12,24.2,88.34,114.6
2023-02-13,23.04,90.01,127.6
2023-02-14,23.22,85.9,73.0
2023-02-15,23.39,89.21,114.0
2023-02-16,23.95,86.25,64.4
2023-02-17,23.46,86.22,45.9
2023-02-18,23.18,88.37,55.7
2023-02-19,23.71,88.01,54.5
2023-02-20,24.29,88.05,105.9
2023-02-21,24.5,86.29,74.1
2023-02-22,24.33,85.91,56.7
2023-02-23,24.53,86.97,133.8
2023-02-24,24.43,88.19,124.7
2023-02-25,24.35,87.99,101.3
2023-02-26,24.42,85.9,40.0
2023-02-27,24.07,85.75,44.8
2023-02-28,23.89,87.72,190.4
2023-03-01,23.95,85.48,48.9
2023-03-02,24.32,84.88,34.0
2023-03-03,24.44,84.04,33.2
2023-03-04,24.6,83.31,44.5
2023-03-05,24.25,86.21,64.5
2023-03-06,24.13,86.92,63.8
2023-03-07,23.47,84.67,94.3
2023-03-08,23.98,89.68,123.6
2023-03-09,23.2,87.65,64.9
2023-03-10,22.56,84.72,62.8
2023-03-11,22.94,83.1,40.4
2023-03-12,22.71,82.94,33.7
2023-03-13,22.91,79.22,16.8
2023-03-14,22.6,79.65,13.1
2023-03-15,22.55,81.73,20.0
2023-03-16,23.33,77.19,11.2
2023-03-17,23.45,79.89,20.4
2023-03-18,23.61,84.44,41.8
2023-03-19,22.89,81.53,23.6
2023-03-20,23.37,78.2,17.9
2023-03-21,24.35,71.77,1.8
2023-03-22,23.87,75.15,8.9
2023-03-23,23.97,77.42,18.5
2023-03-24,24.3,81.0,20.9
2023-03-25,23.19,83.15,49.3
2023-03-26,23.17,82.94,50.4
2023-03-27,22.29,83.63,42.7
2023-03-28,21.91,85.64,45.0
2023-03-29,22.39,83.95,29.9
2023-03-30,22.61,79.82,25.0
2023-03-31,22.25,81.69,34.5
2023-04-01,22.05,76.82,11.7
2023-04-02,21.55,83.23,42.7
2023-04-03,21.59,82.94,29.3
2023-04-04,21.72,82.78,101.0
2023-04-05,22.09,82.21,29.9
2023-04-06,21.0,82.4,28.2
2023-04-07,21.51,80.47,19.3
2023-04-08,21.91,80.94,18.2
2023-04-09,22.33,78.76,25.1
2023-04-10,22.48,82.3,43.9
