Data,Temp_ETA,UR_ETA,Prec_ETA
2023-01-01,22.01,73.82,122.4
2023-01-02,22.14,73.0,109.1
2023-01-03,22.65,72.64,106.5
2023-01-04,22.35,75.45,91.4
2023-01-05,21.89,75.56,139.9
2023-01-06,23.11,67.64,45.6
2023-01-07,23.28,70.2,82.3
2023-01-08,23.47,71.09,84.0
2023-01-09,24.21,68.63,89.6
2023-01-10,23.42,71.57,188.8
2023-01-11,23.57,74.98,211.4
2023-01-12,24.32,71.79,138.8
2023-01-13,23.43,75.41,205.8
2023-01-14,24.14,72.31,144.7
2023-01-15,24.33,69.93,105.1
2023-01-16,24.15,73.66,186.8
2023-01-17,24.06,71.78,96.6
2023-01-18,23.75,68.46,91.0
2023-01-19,24.47,66.75,59.1
2023-01-20,23.92,71.06,130.0
2023-01-21,24.67,67.65,18.1
2023-01-22,23.92,70.28,126.1
2023-01-23,24.35,66.36,35.7
2023-01-24,23.8,67.31,85.3
2023-01-25,23.85,68.02,81.6
2023-01-26,24.16,67.63,96.2
2023-01-27,24.66,68.7,90.0
2023-01-28,24.15,72.59,101.7
2023-01-29,24.29,75.09,161.9
2023-01-30,23.45,72.11,81.3
2023-01-31,22.79,78.08,177.8
2023-02-01,22.8,77.97,208.4
2023-02-02,24.28,69.8,88.6
2023-02-03,23.95,71.08,104.7
2023-02-04,24.55,64.06,48.6
2023-02-05,23.93,62.94,45.0
2023-02-06,23.36,70.27,47.1
2023-02-07,23.6,69.09,102.1
2023-02-08,23.76,67.77,68.2
2023-02-09,23.71,69.76,69.9
2023-02-10,23.3,73.32,118.7
2023-02-11,23.28,75.06,160.5
2023-02-12,23.78,73.98,130.3
2023-02-13,24.61,70.68,98.4
2023-02-14,23.22,74.4,163.2
2023-02-15,23.8,74.09,142.8
2023-02-16,24.46,71.14,122.7
2023-02-17,24.6,69.62,101.9
2023-02-18,24.95,68.04,97.8
2023-02-19,25.13,66.22,82.2
2023-02-20,24.61,68.88,114.6
2023-02-21,23.81,71.63,111.0
2023-02-22,23.85,70.5,91.3
2023-02-23,24.01,71.29,110.6
2023-02-24,22.5,71.8,84.0
2023-02-25,24.2,71.45,133.4
2023-02-26,25.17,65.99,93.5
2023-02-27,24.03,71.48,206.0
2023-02-28,24.0,69.4,162.9
2023-03-01,25.07,64.66,110.8
2023-03-02,25.62,62.37,57.3
2023-03-03,24.81,66.69,57.3
2023-03-04,24.21,70.01,108.5
2023-03-05,25.04,65.22,72.5
2023-03-06,24.84,64.8,69.2
2023-03-07,23.58,68.96,53.5
2023-03-08,23.2,68.79,27.7
2023-03-09,22.66,72.73,137.9
2023-03-10,23.96,67.29,82.4
2023-03-11,23.64,68.81,73.4
2023-03-12,23.41,71.06,74.9
2023-03-13,23.01,71.32,90.4
2023-03-14,22.85,72.13,60.8
2023-03-15,22.36,72.5,62.6
2023-03-16,24.46,59.89,2.6
2023-03-17,24.0,64.21,16.4
2023-03-18,24.33,63.84,12.8
2023-03-19,24.53,61.47,8.1
2023-03-20,24.87,60.99,3.5
2023-03-21,24.96,60.48,8.5
2023-03-22,24.09,63.75,3.7
2023-03-23,24.34,63.37,5.0
2023-03-24,24.21,63.17,46.7
2023-03-25,24.69,61.98,9.3
2023-03-26,23.46,66.3,25.9
2023-03-27,22.65,66.77,48.9
2023-03-28,23.43,64.57,35.6
2023-03-29,22.49,68.11,65.3
2023-03-30,23.39,65.88,38.3
2023-03-31,23.0,68.27,31.5
2023-04-01,22.05,66.27,31.0
2023-04-02,22.96,65.54,34.9
2023-04-03,22.59,64.33,22.3
2023-04-04,23.09,65.37,43.8
2023-04-05,22.31,71.57,75.1
2023-04-06,22.0,70.72,53.8
2023-04-07,22.04,69.3,71.2
2023-04-08,22.64,71.26,62.2
2023-04-09,21.71,68.93,44.5
2023-04-10,22.25,68.65,68.3
2023-04-11,22.47,69.89,78.6
2023-04-12,22.26,73.97,74.5
2023-04-13,23.27,70.33,50.2
2023-04-14,22.0,73.63,94.2
2023-04-15,20.99,75.16,51.6
2023-04-16,21.88,70.11,22.8
2023-04-17,21.23,70.32,34.4
2023-04-18,21.15,64.68,30.6
2023-04-19,20.72,60.85,11.7
2023-04-20,20.93,61.55,0.0
2023-04-21,20.77,60.5,4.9
2023-04-22,20.05,61.63,0.0
2023-04-23,20.9,62.69,6.0
2023-04-24,22.03,57.7,1.6
2023-04-25,22.08,63.52,9.7
2023-04-26,22.23,64.62,8.7
2023-04-27,22.24,63.36,7.4
2023-04-28,21.59,62.58,8.8
2023-04-29,21.91,63.42,11.0
2023-04-30,21.42,65.73,24.7
2023-05-01,22.26,63.67,27.0
2023-05-02,22.09,63.21,12.4
2023-05-03,22.74,62.5,44.9
2023-05-04,22.28,65.43,24.2
