Data,Temp_WRF,UR_WRF,Prec_WRF
2023-01-01,21.07,80.74,75.4
2023-01-02,20.95,81.51,103.8
2023-01-03,20.55,81.25,86.2
2023-01-04,20.79,84.21,85.3
2023-01-05,19.93,83.27,54.9
2023-01-06,20.24,80.97,41.5
2023-01-07,20.89,80.77,45.1
2023-01-08,22.03,79.77,30.9
2023-01-09,22.53,81.14,58.6
2023-01-10,23.12,81.25,52.2
2023-01-11,23.36,81.22,83.7
2023-01-12,23.68,80.04,62.4
2023-01-13,23.76,77.94,76.4
2023-01-14,23.98,72.77,76.7
2023-01-15,23.35,76.99,90.1
2023-01-16,23.12,78.93,71.5
2023-01-17,23.19,78.98,64.4
2023-01-18,23.01,79.21,100.5
2023-01-19,23.22,77.94,47.7
2023-01-20,22.67,78.9,83.8
2023-01-21,23.03,76.0,37.9
2023-01-22,23.31,77.35,27.4
2023-01-23,23.5,70.02,15.6
2023-01-24,23.84,64.46,2.6
2023-01-25,23.76,67.02,24.4
2023-01-26,23.8,68.11,22.1
2023-01-27,23.51,73.93,46.7
2023-01-28,23.01,79.79,81.9
2023-01-29,22.89,82.0,109.7
2023-01-30,22.62,83.4,92.2
2023-01-31,23.06,83.7,92.2
2023-02-01,22.96,83.74,88.5
2023-02-02,23.13,79.6,82.7
2023-02-03,22.88,81.79,93.5
2023-02-04,23.65,73.82,28.4
2023-02-05,22.45,79.42,73.9
2023-02-06,22.44,76.47,39.5
2023-02-07,22.5,76.52,28.4
2023-02-08,23.06,74.21,63.4
2023-02-09,23.29,75.58,63.1
2023-02-10,23.1,79.95,67.2
2023-02-11,22.98,82.89,89.7
2023-02-12,23.22,82.47,98.9
2023-02-13,23.05,80.82,69.7
2023-02-14,22.67,82.77,59.5
2023-02-15,22.53,81.88,57.0
2023-02-16,23.11,79.99,39.5
2023-02-17,23.19,77.21,30.5
2023-02-18,22.49,80.32,58.2
2023-02-19,22.3,78.65,29.9
2023-02-20,23.04,77.94,45.6
2023-02-21,23.35,77.2,38.4
2023-02-22,23.35,79.0,73.6
2023-02-23,23.89,78.06,65.9
2023-02-24,23.76,78.85,69.1
2023-02-25,24.28,76.34,61.8
2023-02-26,24.49,74.64,46.9
2023-02-27,24.21,73.74,32.4
2023-02-28,23.51,77.69,86.2
2023-03-01,24.0,73.98,46.0
2023-03-02,24.71,70.69,27.1
2023-03-03,23.57,77.94,89.6
2023-03-04,23.74,77.09,53.5
2023-03-05,24.15,73.22,50.7
2023-03-06,23.67,75.97,56.0
2023-03-07,23.87,74.74,63.3
2023-03-08,23.45,73.35,34.8
2023-03-09,22.23,78.09,51.3
2023-03-10,22.78,73.67,58.1
2023-03-11,22.35,77.07,42.5
2023-03-12,22.67,71.89,13.1
2023-03-13,22.74,70.91,24.6
2023-03-14,22.95,67.14,3.0
2023-03-15,23.45,66.28,2.9
2023-03-16,23.61,66.7,3.0
2023-03-17,23.64,69.96,14.5
2023-03-18,23.25,75.31,44.1
2023-03-19,23.63,71.43,29.9
2023-03-20,23.12,71.43,21.4
2023-03-21,23.71,70.88,15.4
2023-03-22,24.03,69.03,9.9
2023-03-23,23.97,70.79,16.6
2023-03-24,24.16,70.96,24.0
2023-03-25,23.05,73.83,26.9
2023-03-26,22.78,75.38,27.8
2023-03-27,22.44,78.71,61.3
2023-03-28,22.04,77.48,38.3
2023-03-29,21.93,74.73,26.7
2023-03-30,21.99,72.8,21.3
2023-03-31,21.58,70.12,4.1
2023-04-01,21.6,71.04,5.8
2023-04-02,20.82,71.86,0.7
2023-04-03,21.6,70.51,6.1
2023-04-04,21.65,73.09,29.4
2023-04-05,21.74,76.1,24.2
2023-04-06,21.55,77.69,30.5
2023-04-07,20.82,76.09,30.6
2023-04-08,20.98,73.48,7.7
2023-04-09,21.48,73.18,7.4
2023-04-10,21.52,71.36,30.7
2023-04-11,21.64,74.53,21.2
2023-04-12,21.55,74.65,19.6
2023-04-13,22.31,72.46,12.0
2023-04-14,22.16,78.62,40.9
2023-04-15,21.42,79.04,18.0
2023-04-16,20.23,74.67,36.2
2023-04-17,19.54,71.43,64.2
2023-04-18,19.61,69.98,77.0
2023-04-19,19.16,65.32,15.2
2023-04-20,18.77,64.56,0.0
2023-04-21,20.05,64.43,1.6
2023-04-22,20.08,67.01,4.7
2023-04-23,20.28,66.64,7.7
2023-04-24,20.17,70.51,15.4
2023-04-25,20.29,73.67,17.2
2023-04-26,20.09,71.89,7.6
2023-04-27,20.79,71.92,3.9
2023-04-28,21.03,71.69,4.9
2023-04-29,21.29,68.83,0.9
2023-04-30,20.93,71.08,11.6
2023-05-01,20.78,68.2,1.1
2023-05-02,21.51,67.56,2.4
2023-05-03,22.62,65.43,6.1
2023-05-04,22.27,67.61,8.4
2023-05-05,21.81,71.55,5.2
2023-05-06,21.04,71.84,9.8
2023-05-07,20.12,75.72,13.0
2023-05-08,19.25,75.22,10.8
2023-05-09,18.4,76.22,4.0
2023-05-10,17.25,74.98,10.1
2023-05-11,17.63,70.61,0.2
2023-05-12,17.67,67.96,0.0
2023-05-13,17.15,65.77,0.0
2023-05-14,16.85,68.39,0.0
2023-05-15,16.82,67.24,0.0
2023-05-16,17.09,64.95,0.0
2023-05-17,17.65,66.91,0.2
2023-05-18,18.37,61.84,0.0
2023-05-19,18.96,59.27,0.0
2023-05-20,19.66,59.21,1.4
2023-05-21,20.25,60.17,2.8
2023-05-22,20.2,61.11,0.6
2023-05-23,19.18,66.05,19.8
2023-05-24,19.53,66.03,11.3
2023-05-25,19.63,66.54,7.9
2023-05-26,19.17,71.91,5.3
2023-05-27,18.8,74.9,15.9
2023-05-28,17.88,78.65,40.9
2023-05-29,18.0,74.9,12.7
2023-05-30,17.53,74.62,36.0
2023-05-31,17.21,74.45,28.1
2023-06-01,17.88,70.14,0.0
2023-06-02,18.09,66.07,0.0
2023-06-03,18.21,59.56,0.0
2023-06-04,18.62,55.71,0.0
2023-06-05,18.24,56.04,0.0
2023-06-06,19.1,57.58,0.0
2023-06-07,19.38,53.69,0.0
2023-06-08,18.6,61.6,1.4
2023-06-09,18.17,65.63,37.5
2023-06-10,18.43,70.25,43.1
2023-06-11,17.95,76.18,60.2
2023-06-12,17.87,76.34,39.6
2023-06-13,17.1,79.85,33.3
2023-06-14,15.73,79.15,16.7
2023-06-15,15.78,75.07,6.7
2023-06-16,15.99,67.1,0.2
2023-06-17,16.22,64.64,0.9
2023-06-18,17.89,60.07,0.1
2023-06-19,18.55,58.05,0.2
2023-06-20,18.42,57.58,0.0
2023-06-21,19.95,49.95,0.0
2023-06-22,19.92,50.47,0.0
2023-06-23,19.7,53.87,0.0
