data,temperatura_obs,precipitacao_obs,temperatura_eta,precipitacao_eta,temperatura_brams,precipitacao_brams,temperatura_wrf,precipitacao_wrf
2023-01-01,25.325,0,23.11,0.7,23.69,13.1,22.98,6.6
2023-01-02,25.18181818,0,23.92,5.2,23.25,16.8,23.48,1.5
2023-01-03,25.15,0,25.21,13.5,23.41,12.3,23.45,5.9
2023-01-04,22.85217391,40.4,24.21,37.7,22.79,60.5,22.02,27.7
2023-01-05,18.86666667,9,20.54,4.1,20.22,7.4,20.92,6
2023-01-06,18.93913043,0,17.88,13.9,19.59,0,17.38,19.3
2023-01-07,19.55263158,0,17.75,23.9,18.46,0.5,17.28,8.4
2023-01-08,21.13636364,0,20.84,4.8,20.82,14.5,19.15,23.1
2023-01-09,21.90434783,2.2,22.52,1.3,22.16,8.8,21.32,2.7
2023-01-10,22.30434783,24.2,22.88,12.6,22.39,25.4,23.43,1
2023-01-11,22.35833333,11.4,23.21,4.7,23.2,17,22.57,3.7
2023-01-12,22.66666667,17.4,22.99,15.4,23.24,15.7,22.44,6.6
2023-01-13,24.11666667,23.4,26.18,3.3,22.65,10.3,22.93,1.7
2023-01-14,23.64583333,40,24.16,14.6,23.84,11.9,24.32,6.3
2023-01-15,25.27083333,5,22.49,25.8,23.6,6.1,24.05,13
2023-01-16,26.24166667,0.7,24.43,11,23.23,73.3,23.52,4.8
2023-01-17,25.89166667,0,23.87,8.6,23.42,15.7,23.52,14.5
2023-01-18,25.35,2,25.27,0.5,24.25,2.6,23.12,11.3
2023-01-19,24.6625,33.6,24.38,15.9,23.55,6.7,22.76,31
2023-01-20,23.80625,11,21.59,31.4,22.65,14.6,21.76,9.6
2023-01-21,23.85416667,3.8,21.8,19.3,21.8,9.6,21,29.7
2023-01-22,24.80416667,0,25.15,8.9,22.05,17,22.42,7.1
2023-01-23,24.825,0,22.9,10.8,23.04,17.5,23.05,18.9
2023-01-24,24.69166667,3.4,24.41,18.3,23.03,32.4,22.04,18.5
2023-01-25,25.17083333,0,25.28,6.2,22.2,6.5,23.01,5.7
2023-01-26,25.81666667,0,24.7,21,22.41,95.2,22.62,4.3
2023-01-27,25.55,0,25.04,5.1,23.32,76.8,23.58,6.4
2023-01-28,25.25416667,0,25.12,0.1,23.52,15.2,22.78,10.6
2023-01-29,24.97272727,8.8,25.66,0.4,24.04,22.8,25.15,1
2023-01-30,24.21363636,4.5,24.29,17.8,21.57,15.1,24.03,0.3
2023-01-31,25.34583333,0.7,27.5,2.6,21.87,7.4,23.68,6.6
2023-02-01,24.32083333,27.4,23.59,13,21.33,14.7,23.4,10.3
2023-02-02,24.8125,6.8,23.77,4.3,23.08,66.9,23.77,22.5
2023-02-03,23.89583333,23.2,25.2,20.2,23.3,64.6,22.27,8
2023-02-04,23.8125,4.5,24.48,5.7,23.67,73.7,23.15,13.2
2023-02-05,24.875,0,25.27,16,22.54,20.1,22.69,13.2
2023-02-06,23.98333333,11.9,25.4,0.4,22.42,23.7,23.32,27.1
2023-02-07,23.19583333,22.8,24.16,5.8,23.17,14.7,23.79,2.7
2023-02-08,23.85,4,25.56,7.2,22.99,13.6,23.39,0.7
2023-02-09,25.66666667,0,23.4,2.5,22.76,14.9,21.9,7.5
2023-02-10,25.05833333,0,21.98,22.3,22.98,20.4,23.09,3.8
2023-02-11,23.65,0.4,23.31,50.2,21.65,12.6,21.59,36.8
2023-02-12,24.00434783,1.5,25.01,2.9,22.78,2.9,22.02,13
2023-02-13,23.71363636,27.8,25.44,1.4,23.05,4.9,22.4,1.6
2023-02-14,24.44583333,1.1,24.94,13.5,24.59,10.5,23.45,5.8
2023-02-15,24.9875,6,25.98,4.1,24.66,4.5,23.76,18.4
2023-02-16,25.25217391,0,24.67,1.7,22.51,33,22.57,18.7
2023-02-17,23.86666667,48.6,24.11,11.6,20.12,5.2,22.69,17.6
2023-02-18,23.9,14.9,21.71,5.6,22.08,12.3,22.4,49.3
2023-02-19,20.99583333,2.5,20.94,2,22.21,5.4,19.55,1.8
2023-02-20,23.77916667,0.9,21.25,0.4,20.67,11,20.68,4.9
2023-02-21,24.48333333,0,22.03,0.7,22.76,5.9,21.09,7.6
2023-02-22,24.19130435,5.1,23.35,9.5,24.12,3.2,23.23,5.9
2023-02-23,24.58333333,0.7,25.13,1,24.91,10.1,23.85,5.1
2023-02-24,24.23333333,0.2,23.53,0.1,24.58,7.7,23.03,3.2
2023-02-25,25.2125,2.1,23.57,15.6,24.4,5.5,21.97,0.1
2023-02-26,25.5125,0,23.34,25,24.78,11.3,23.62,4.8
2023-02-27,25.54166667,4.2,26.45,14.6,25.06,18.8,24.53,6.4
2023-02-28,23.7375,2.5,27.37,0,24.78,22.5,22.98,9.8
2023-03-01,23.22916667,6.8,28.02,0,23.8,9.5,23.21,6.5
2023-03-02,25.20833333,0,25.21,18.9,23.19,5.4,22.3,14.5
2023-03-03,27.25,0,21.06,0.1,24.47,9.8,24.02,6.6
2023-03-04,23.3875,26.6,24.84,5.4,24.36,9.9,24.89,1.4
2023-03-05,23.12083333,7.8,24.17,5.9,23.69,6.4,25,5
2023-03-06,24.6,0.9,21.01,0,22.99,8.7,22.93,10.8
2023-03-07,24.29583333,2.5,24.89,0.1,23.72,17.3,22.96,8.8
2023-03-08,25.05833333,5.5,24.55,5.8,24.34,6.9,23.87,7.6
2023-03-09,23.575,10.3,23.46,11.5,24.66,5.2,22.97,16.7
2023-03-10,23.26666667,9.3,23.07,13.7,25,5.5,24.59,4.5
2023-03-11,21.95833333,26.5,24.28,23.6,24.67,4,25.8,0
2023-03-12,23.11666667,3.9,25.56,2.6,23.35,14.2,23.41,5.7
2023-03-13,23.65833333,4.7,22,0,21.6,5.5,22.78,8.4
2023-03-14,23.25416667,47.7,23.12,0,21.41,22.7,22.96,0.7
2023-03-15,24.025,0.9,24.67,1.5,23.97,9.9,21.2,0.1
2023-03-16,24.82916667,4.5,24.47,0,22.72,2.1,22.44,0.3
2023-03-17,24.38333333,0,21.24,0,23.22,0,23.05,0.4
2023-03-18,24.65416667,0,22.35,0.7,22.89,0.2,22.53,0.5
2023-03-19,25.75833333,0,22.43,2.4,22.81,0.2,22.83,0.4
2023-03-20,26.24166667,0,25.02,0.4,23.04,2.7,23.16,0
2023-03-21,24.35416667,4.2,22.61,0,21.9,5,24.18,0.4
2023-03-22,25.075,0,23.95,4.6,22.79,1.5,23.79,0
2023-03-23,25.58333333,0,22.75,19.7,22.83,4.2,23.7,7.5
2023-03-24,25.70416667,0,23.01,17.3,23.72,9.1,22.79,8.3
2023-03-25,25.6625,0,20.57,0.3,23.58,8.6,22.85,7.4
2023-03-26,26.83333333,0,25.52,0,23,1.3,22.42,1.5
2023-03-27,24.725,0,23.54,0.2,25.68,0,24.14,3.1
2023-03-28,23.95833333,15.3,24.49,7.6,24.54,0,23.54,1.6
2023-03-29,24.5,1.2,26.8,0,22.26,0,23.1,2.1
2023-03-30,24.46666667,1.3,27.74,0,23.07,5.5,23.43,10.5
2023-03-31,25.34782609,1,26.37,0,22.64,10.9,22.71,1.1
2023-04-01,24.4,0,24.74,2.9,22.63,7.9,21.4,2.5
2023-04-02,22.43333333,0,23.97,0,21.11,8.1,18.87,0.7
2023-04-03,22.32083333,0,23.58,9,16.81,0,19.14,0.2
2023-04-04,23.07916667,0,25.25,0,21.07,0,20.62,0
2023-04-05,22.325,0,21.75,0,21.93,1.7,21.5,0
2023-04-06,23.10416667,0,21.15,0,22.62,9.4,21.94,0
2023-04-07,20.67916667,26.6,24.48,1.3,21.85,6.3,21.07,3.1
2023-04-08,21.41666667,0,21.01,25.9,20.89,1.4,21.29,0
2023-04-09,21.625,0.4,22.69,0.2,21.23,11.4,22.02,0.9
2023-04-10,22.00833333,0,24,0,21.24,0.9,21.95,17.7
2023-04-11,21.85416667,0,19.6,0,20.95,0,22.18,2.4
2023-04-12,23.52083333,0,23.15,2.1,22.38,0,22.3,3.5
2023-04-13,23.825,1.9,25.44,0,22.04,0,21.67,0.7
2023-04-14,21.22608696,16.5,24.01,13,22.9,0,21.48,0.5
2023-04-15,22.26666667,1.4,20.86,5,23.55,4.6,21,1.3
2023-04-16,22.42916667,0,19.09,0,21.93,10.7,20.48,0.7
2023-04-17,22.91666667,1.7,23.2,20.9,22.71,5.3,19.97,0
2023-04-18,22.27916667,7.4,25.54,12.2,21.45,0,21.89,0
2023-04-19,21.42083333,17.8,23.91,7.2,20.44,10,23.14,2.2
2023-04-20,16.99583333,0,22.38,25.8,20.98,11.4,22.4,11.8
2023-04-21,17.85833333,0,19.5,8.6,19.9,0.5,19.05,0
2023-04-22,20.09166667,0,21.69,2.9,17.6,0,16.47,0
2023-04-23,20.9125,0,23.21,3.2,17.95,0,18.62,0
2023-04-24,21.34583333,0,22.45,27.2,20.2,0,19.92,0
2023-04-25,20.64166667,0,19.84,1.8,18.94,0,19.97,0
2023-04-26,20.80416667,1.7,23.84,2,21.91,1,20.83,0
2023-04-27,20.15833333,0.2,23.9,0,23.42,0,21.55,1.6
